S.No,Axial RMS Acceleration(m/sec2),Axial RMS Velocity(mm/sec),Horizontal RMS Acceleration(m/sec2),Horizontal RMS Velocity(mm/sec),Vertical RMS Acceleration(m/sec2),Vertical RMS Velocity(mm/sec),Noise (db),Temperature (degC),Current(A)
189,17.641,9.005,9.506,5.177,11.135,12.893,104.332,59.3,9.43
190,19.543,7.597,10.347,6.11,10.998,11.865,104.69,59.4,9.43
191,18.1035,7.362,10.124,5.775,10.5025,12.1635,105.911,59.5,9.47
192,18.499,7.08,10.572,4.989,9.099,10.254,105.69,59.6,9.43
193,19.31,6.5865,11.2235,6.027,10.636,12.14,106.69,60.2,9.43
194,19.389,7.373,10.122,5.617,9.881,10.81,105.99,60.2,9.47
195,18.487,6.877,10.34,6.021,11.49,11.975,106.19,60.3,9.55
196,18.8135,7.807,9.773,5.093,10.3915,11.2565,106.22,60.4,9.47
197,16.743,9.466,10.297,5.768,11.242,11.682,105.626,60.2,9.49
198,18.515,6.248,9.9275,5.426,10.5315,11.971,104.982,60.3,9.46
199,17.768,7.229,9.772,4.865,9.974,10.07,105.84,60.4,9.53
200,17.835,6.531,9.96,5.187,9.847,9.526,104.832,60.5,9.5
201,20.426,7.05,10.4415,5.5575,10.3535,11.2255,105.19,61.1,9.7
202,18.547,6.562,9.659,6.368,10.49,12.044,105.89,61.1,9.47
203,20.22,12.326,10.439,5.798,12.159,11.931,106.09,61.2,9.58
204,19.8335,7.2055,10.561,5.261,10.6375,11.0285,106.12,61.3,9.66
205,18.885,6.505,10.901,5.742,11.496,11.985,105.526,61.1,9.66
206,17.9995,7.232,10.008,5.7625,10.308,11.028,106.4,61.2,9.7
207,18.301,8.381,10.467,4.772,10.28,10.769,105.74,61.3,9.66
208,19.711,7.845,11.651,5.519,11.078,9.914,107.6,61.4,9.66
209,19.8705,7.491,11.146,5.714,10.8665,11.6355,105.09,62,9.7
210,17.903,6.807,10.382,5.684,10.862,10.917,106.311,62,9.78
211,19.3885,7.601,10.333,6.0305,11.252,11.95,106.09,62.1,9.7
212,18.069,7.661,10.33,6.367,10.382,12.491,107.09,62.2,9.72
213,16.259,6.492,10.871,6.092,9.265,10.912,106.39,62,9.69
214,18.858,7.8065,10.505,5.188,10.7235,11.818,106.59,62.1,9.76
215,17.647,7.862,9.849,5.075,10.412,10.428,106.62,62.2,9.73
216,18.791,6.351,10.811,6.697,10.521,12.014,106.026,62.3,9.93
217,18.911,7.6125,10.24,5.719,10.042,11.6925,105.382,62.9,9.7
218,19.336,7.376,10.203,5.474,10.043,12.85,106.24,62.9,9.81
219,19.151,6.74,11.361,5.621,10.008,11.269,105.232,63,9.89
220,19.32,8.739,10.004,5.565,10.421,11.314,105.59,63.1,9.89
221,18.526,7.6665,10.318,5.7035,11.39,13.226,106.29,62.9,9.93
222,17.635,8.597,11.203,5.24,10.797,10.839,106.49,63,9.89
223,18.816,7.0895,10.803,5.3205,10.816,11.9865,107.2,63.1,9.89
224,18.356,7.654,9.835,5.567,10.765,11.87,102.7,65.1,9.91
225,18.214,7.766,9.786,5.805,10.029,11.855,101.194,53.216,7.27
226,19.311,7.201,10.438,5.921,11.333,11.141,101.994,53.216,7.34
227,17.087,6.878,9.593,5.49,9.876,10.52,94.306,53.223,7.23
228,19.768,7.789,10.543,5.634,11.086,12.503,101.992,53.231,7.34
229,19.4115,7.947,10.9425,5.723,11.793,11.537,101.691,53.231,7.32
230,18.83,8.229,9.676,5.94,11.054,11.905,101.321,53.239,7.4
231,16.693,6.817,10.881,5.9,10.802,11.686,101.303,53.231,7.54
232,19.5175,8.0535,10.713,6.353,10.2815,12.805,99.392,53.239,7.3
233,20.096,8.773,11.773,5.595,10.483,11.365,99.569,53.231,7.4
234,19.249,7.6485,11.1255,5.2185,10.8535,11.339,101.394,53.239,10.04
235,19.416,7.567,10.521,5.302,10.809,11.418,102.194,53.231,10.12
236,18.059,7.693,10.975,5.308,9.574,10.321,94.506,53.223,10.12
237,18.0315,7.42,10.0855,5.7205,9.8835,10.99,102.192,53.223,10.16
238,17.728,7.254,11.282,5.085,9.883,9.859,101.891,53.223,10.12
239,17.095,7.307,10.166,5.781,10.825,12.612,101.521,53.216,10.12
240,19.719,6.868,10.99,6.062,10.125,13.01,101.503,53.223,7.5
241,19.399,8.022,9.288,5.794,10.803,11.92,99.592,53.231,7.57
242,19.268,8.198,10.568,6.2705,10.8585,13.6715,99.769,53.231,7.46
243,16.397,7.206,10.075,5.592,10.511,11.705,101.594,53.231,7.57
244,18.078,7.756,9.093,5.832,11.156,11.211,102.394,53.239,7.55
245,18.806,9.274,10.3175,5.663,11.001,10.5955,94.706,53.239,7.63
246,19.642,6.948,10.466,5.635,10.753,12.577,102.392,53.247,7.77
247,17.64,7.832,10.374,5.5395,9.887,11.9185,102.091,53.247,7.53
248,18.136,9.506,10.324,5.966,11.028,13.103,101.721,53.255,7.63
249,21.176,7.382,10.672,5.575,10.246,13.751,101.703,53.255,7.52
250,18.889,7.73,10.1335,5.2485,10.0975,12.162,99.792,53.247,7.59
251,21.5,8.354,10.485,4.626,10.713,10.843,99.969,53.255,7.48
252,19.707,7.81,10.172,5.01,10.586,11.016,101.794,53.255,7.59
253,18.588,7.2135,10.7095,6.022,11.521,12.0975,102.594,53.255,7.57
254,16.926,6.152,10.115,6.584,10.356,12.488,94.906,53.255,7.65
255,18.1105,7.076,10.6735,6.4685,11.0395,12.655,102.592,53.239,7.79
256,20.323,7.533,9.941,5.4,9.67,10.256,99.526,53.231,7.55
257,18.235,8.683,10.778,6.779,11.318,13.201,99.204,53.223,7.65
258,17.233,7.055,9.595,5.253,10.091,10.6575,100.074,53.216,7.46
259,17.287,6.453,10.845,6.25,10.052,12.66,101.951,53.208,7.53
260,19.715,6.8615,10.5135,5.836,10.3565,11.5225,100.306,53.192,7.42
261,18.476,7.756,10.236,5.275,9.614,10.808,102.908,53.184,7.53
262,19.127,8.007,11.273,6.184,10.382,10.863,98.343,53.177,7.51
263,19.6625,8.0085,10.0805,5.6725,10.2505,10.8245,101.945,53.177,7.59
264,20.368,7.065,10.735,5.715,10.858,11.45,101.105,53.177,7.73
265,18.399,7.984,10.229,4.95,9.954,10.076,98.712,53.169,7.49
266,17.5225,8.456,9.813,5.878,9.858,12.5375,100.332,53.161,7.59
267,19.907,7.452,10.243,4.942,10.071,10.607,99.049,53.161,7.48
268,19.5015,7.552,10.411,5.692,10.9595,12.035,101.373,53.153,7.55
269,18.898,8.382,10.62,5.355,11.143,10.97,99.248,53.153,7.44
270,17.456,6.208,11.499,5.571,9.982,10.855,102.002,53.153,7.55
271,18.129,6.3755,9.7325,5.615,10.417,12.9755,101.027,53.145,7.53
272,18.922,7.802,11.087,5.346,9.979,9.994,100.76,53.145,7.61
273,19.9085,8.792,10.357,5.1775,11.142,10.724,100.858,53.145,7.75
274,18.157,8.111,11.115,5.765,10.129,12.327,98.447,53.138,7.51
275,19.391,7.492,10.105,5.682,10.664,12.561,97.911,53.145,7.61
276,18.083,7.5665,10.7085,5.6765,10.8615,12.3075,101.982,53.145,7.42
277,17.704,7.409,10.31,5.8,11.088,13.54,98.18,53.145,7.49
278,16.639,7.235,10.244,6.332,10.531,11.35,100.84,53.145,7.38
279,17.1805,7.3295,9.7375,5.188,9.635,10.7225,100.855,53.145,7.49
280,16.968,7.728,9.856,7.024,11.75,12.412,99.308,53.153,7.47
281,16.992,9.627,9.248,7.004,10.559,12.063,98.056,53.161,7.55
282,17.9675,7.934,10.183,5.847,10.737,13.1395,104.005,53.169,7.77
283,17.133,7.648,9.319,4.619,10.569,10.67,99.623,53.177,7.53
284,17.797,7.274,10.4465,5.722,9.987,11.317,100.872,53.177,7.55
285,16.695,7.05,10.534,5.666,N/A,12.465,103.25,53.177,7.44
286,18.111,8.21,10.527,5.943,10.167,11.8,100.849,53.177,7.51
287,18.0655,7.1385,10.3295,5.995,10.589,12.214,99.936,53.177,7.4
288,19.579,8.413,10.085,6.654,10.891,11.725,101.7,53.177,7.51
289,19.3355,7.6295,11.5645,5.09,11.007,10.889,101.657,53.184,7.49
290,18.549,7.675,10.14,5.425,11.117,10.362,102.218,53.184,7.57
291,18.134,7.401,9.68,5.266,9.796,10.996,103.16,53.177,N/A
292,19.263,7.121,10.328,5.687,10.457,11.3355,98.255,N/A,7.47
293,20.673,8.389,10.905,5.864,11.305,11.366,N/A,53.169,7.57
294,18.194,7.2845,9.7845,5.942,N/A,11.822,102.782,53.169,7.38
295,15.93,7.37,9.442,4.733,9.581,10.474,101.786,53.169,7.51
296,19.665,9.075,10.602,6.504,12.361,12.67,101.492,53.169,7.57
297,20.159,7.686,10.869,5.581,10.9805,12.5005,100.381,53.161,7.81
298,18.528,8.564,8.824,5.813,9.959,11.767,100.418,53.153,7.55
299,18.135,7.0735,9.708,5.7275,10.0555,12.09,101.676,53.153,7.59
300,17.882,7.71,11.168,5.509,11.813,11.914,90.012,53.145,7.46
301,18.739,6.946,10.374,6.23,11.192,12.408,101.904,53.145,7.55
302,18.8995,8.2485,10.5655,5.5615,10.5985,11.828,98.194,53.145,7.42
303,18.808,8.983,9.891,4.285,10.047,9.758,100.932,53.122,7.55
304,20.713,8.343,10.255,5.196,10.77,10.462,101.595,53.13,7.51
305,18.6795,7.015,10.619,5.905,11.9335,12.471,98.385,53.138,7.61
306,18.904,7.397,10.074,5.237,10.676,10.729,101.396,53.13,7.73
307,16.372,7.355,10.1495,5.932,10.0775,11.8105,100.757,53.13,7.51
308,18.403,7.346,10.599,5.51,10.25,10.928,99.81,53.122,7.59
309,17.429,7.496,9.796,5.2,10.225,10.644,99.793,53.114,7.42
310,18.489,6.846,10.566,5.168,10.731,10.488,97.397,53.106,7.53
311,17.086,9.745,9.208,5.211,10.33,11.017,98.254,53.106,7.61
312,18.044,7.896,10.2,6.1485,11.589,12.739,103.118,53.098,7.83
313,19.422,7.752,9.526,5.03,10.185,11.371,98.499,53.091,7.59
314,19.307,7.761,10.119,5.479,10.171,10.309,99.172,53.083,7.61
315,18.963,7.195,11.0815,5.205,10.935,11.5285,100.741,53.075,7.5
316,16.571,7.385,10.756,4.749,10.43,10.328,99.275,53.067,7.57
317,18.23,7.365,10.082,4.872,10.427,10.679,98.271,53.067,7.46
318,18.596,8.4115,10.8935,5.651,11.5585,12.7995,97.998,53.059,7.57
319,20.026,8.509,8.674,5.299,10.389,11.631,99.239,53.052,7.55
320,19.1625,9.0075,10.3875,5.483,10.379,10.8905,99.641,53.044,7.63
321,18.794,9.355,10.283,6.45,11.233,14.311,95.219,53.044,7.77
